Station,closure_date,start_time,end_time,duration_minutes,n_intervals,mean_flow,mean_speed,max_occupancy,multi_station_event
317791,2013-01-29,2013-01-29 01:25:00,2013-01-29 04:15:00,175.0,35,3.8857142857142857,64.55142857142857,0.003,True
316261,2013-01-30,2013-01-30 01:10:00,2013-01-30 04:00:00,175.0,5,4.2,65.22,0.0101,True
317791,2013-01-30,2013-01-30 00:35:00,2013-01-30 04:15:00,225.0,45,3.4,64.93777777777777,0.0034,True
316261,2013-01-31,2013-01-31 00:40:00,2013-01-31 02:35:00,120.0,5,4.0,64.86,0.0068,True
317791,2013-01-31,2013-01-31 00:40:00,2013-01-31 04:10:00,215.0,43,3.558139534883721,63.92558139534884,0.0031,True
316249,2013-02-01,2013-02-01 02:15:00,2013-02-01 02:25:00,15.0,2,5.0,66.2,0.0028,True
316261,2013-02-01,2013-02-01 02:20:00,2013-02-01 02:30:00,15.0,2,3.5,66.6,0.0046,True
317791,2013-02-01,2013-02-01 01:05:00,2013-02-01 04:05:00,185.0,37,3.5945945945945947,64.22972972972973,0.0027,True
316261,2013-02-02,2013-02-02 02:30:00,2013-02-02 04:00:00,95.0,5,3.0,63.86,0.0055,True
317791,2013-02-02,2013-02-02 02:20:00,2013-02-02 05:00:00,165.0,33,3.909090909090909,64.71515151515152,0.0029,True
316249,2013-02-03,2013-02-03 01:30:00,2013-02-03 05:30:00,245.0,42,3.5,67.14761904761905,0.0039,True
316261,2013-02-03,2013-02-03 01:35:00,2013-02-03 05:35:00,245.0,48,2.9375,66.47916666666667,0.0089,True
317791,2013-02-03,2013-02-03 01:30:00,2013-02-03 05:40:00,255.0,51,3.5294117647058822,65.3313725490196,0.0029,True
316249,2013-02-04,2013-02-04 00:40:00,2013-02-04 03:45:00,190.0,12,3.6666666666666665,67.27499999999999,0.0023,True
316261,2013-02-04,2013-02-04 00:40:00,2013-02-04 03:25:00,170.0,21,3.857142857142857,65.8,0.0109,True
317791,2013-02-04,2013-02-04 00:25:00,2013-02-04 04:10:00,230.0,46,3.3260869565217392,65.42608695652174,0.0032,True
316249,2013-02-05,2013-02-05 01:50:00,2013-02-05 01:50:00,5.0,1,5.0,64.3,0.0026,True
316261,2013-02-05,2013-02-05 00:50:00,2013-02-05 01:50:00,65.0,5,4.2,67.36,0.0083,True
317791,2013-02-05,2013-02-05 01:20:00,2013-02-05 04:15:00,180.0,35,3.8857142857142857,64.55428571428571,0.003,True
316249,2013-02-06,2013-02-06 01:50:00,2013-02-06 02:20:00,35.0,3,4.0,64.96666666666667,0.0028,True
316261,2013-02-06,2013-02-06 00:50:00,2013-02-06 02:00:00,75.0,3,3.3333333333333335,65.16666666666667,0.005,True
317791,2013-02-06,2013-02-06 00:35:00,2013-02-06 04:15:00,225.0,45,3.4,64.93777777777777,0.0034,True
316249,2013-02-07,2013-02-07 01:50:00,2013-02-07 01:50:00,5.0,1,3.0,67.8,0.0006,True
316261,2013-02-07,2013-02-07 01:20:00,2013-02-07 02:00:00,45.0,3,2.3333333333333335,65.0,0.0044,True
317791,2013-02-07,2013-02-07 00:50:00,2013-02-07 04:10:00,205.0,41,3.4878048780487805,63.9219512195122,0.0031,True
316249,2013-02-08,2013-02-08 01:50:00,2013-02-08 04:55:00,190.0,35,2.142857142857143,70.21714285714286,0.0017,True
316261,2013-02-08,2013-02-08 01:15:00,2013-02-08 04:10:00,180.0,11,3.272727272727273,66.4,0.0069,True
317791,2013-02-08,2013-02-08 01:05:00,2013-02-08 04:05:00,185.0,37,3.5945945945945947,64.22972972972973,0.0027,True
316249,2013-02-09,2013-02-09 02:10:00,2013-02-09 03:45:00,100.0,3,3.0,63.833333333333336,0.003,True
316261,2013-02-09,2013-02-09 02:10:00,2013-02-09 03:50:00,105.0,7,3.5714285714285716,65.45714285714286,0.0071,True
