closure_start,closure_end,has_reopening_time,postId,URL,is_wb,is_eb,text
2023-03-09 21:19:29+00:00,,False,525164923135724,https://www.facebook.com/chp.truckee/posts/pfbid0Ufv2zrTNfLpWrErXDXcbH9vXPjGDYtAekwXrGGRrwabvYXTp4ymgGbP2FAMgM27El,0,0,"‼️BE ADVISED‼️ Another major storm is coming in tonight through the weekend! Be prepared for road closures, chain control, ￼roadway flooding, and extended delays! Travel is HIGHLY DISCOURAGED!! 

** For updates on road conditions visit: https://quickmap.dot.ca.gov"
2023-03-12 23:16:45+00:00,,False,526905556294994,https://www.facebook.com/chp.truckee/posts/pfbid02Jby4EjMBPz5TUELcgCaWXnCVr1htAE77prRxKffHQUczHGqQKBpWPF3eKmdXv1m6l,0,1,"Anyone missing their plumbing? 😳 

The Donner Gate to eastbound I-80 on-ramp is shut down due to a big rig that lost its load of metal pipes. Please use an alternate route. 

#chptruckee #TrafficAlert"
2023-03-15 02:51:41+00:00,,False,528080102844206,https://www.facebook.com/chp.truckee/posts/pfbid02TvrZMhDTGcYiiZFeyn5TfZGFAybJQu8WMtwn1EvvhrEh4gosZuDo7LCipzz1PZCl,0,0,"‼️UPDATE‼️

** Roadway is now OPEN **

⚠️TRAFFIC ALERT (3/14/23 7:50pm) 

It’s going to be a long night… SR-89, south of Alpine Meadows, is closed due to multiple downed trees and utility lines. No estimated time of reopening, please use an alternate route."
2023-03-15 14:18:35+00:00,2023-03-15 18:35:00+00:00,True,528353902816826,https://www.facebook.com/chp.truckee/posts/pfbid0R5S5DxfcQQNdZ7QF1Lnc7WeymY9sJH3Az79ZCssj4TQQ2hhSfadrRACuPv6KHDqMl,0,1,"‼️UPDATE‼️ (3/15/23  7:15am)

I-80 eastbound at Central Truckee remains closed. Eastbound traffic is being diverted into SR-89 south. Still no estimated time of reopening."
2023-03-18 20:01:41+00:00,,False,530248779294005,https://www.facebook.com/chp.truckee/videos/1291989021716891/,0,0,"We are thinking of the right words to say since they probably haven't sounded the way we wanted them to sound in the past, so let's try again..

A series of snow storm are coming in starting early tomorrow morning through Wednesday. EXPECT CHAIN CONTROL, EXPECT ROAD CLOSURES and EXPECT LONG DELAYS! BE PREPARED...

**For updates on road conditions visit: https://quickmap.dot.ca.gov

Caltrans District 3
US National Weather Service Sacramento California

🔊 #chptruckee #herewegoagain"
2023-03-23 23:02:46+00:00,2023-03-23 23:30:00+00:00,True,533137655671784,https://www.facebook.com/chp.truckee/posts/pfbid0jHpf6NDaXJqzhSmrkogtiyDnn5jc9UZ9fknVZwLJF8hrk8HGxm1Cj2LT76RgSsHcl,1,0,"‼️‼️ ROAD CLOSURE ‼️‼️ (03/23/23   3:55pm) 

I-80 westbound traffic is being turned around and the Nevada state line and in Truckee due to a major traffic collision on westbound I-80, west of Blue Canyon Rd. No estimated time of reopening.

CHP - Gold Run"
2023-03-23 23:31:04+00:00,,False,533146762337540,https://www.facebook.com/chp.truckee/posts/pfbid02Z34csR2oC2s1AnYSk711jKXpYqv1JRdmE2DC7GJypKbh1zvHjaNzZW9JPDixu2Mgl,1,0,"‼️ROAD CLOSURE UPDATE‼️ I-80 westbound is now OPEN! 

(03/23/23   4:30pm)"
2023-03-26 16:38:11+00:00,,False,534550855530464,https://www.facebook.com/chp.truckee/posts/pfbid02GxxLdeNMZFivkRUDvVP21MJakrSQiM4nhmSPHuawECwg81Q6sux99kWEDt35x1Txl,1,1,"⚠️⚠️ Chain control has been lifted on I-80 over Donner Summit ⚠️⚠️  (3/26/23 9:30am) 

Keep those shovels out as we are expecting a strong snow storm starting Monday afternoon through Wednesday, bringing moderare to heavy snow. Expect chain control, road closures, and long delays.. 

US National Weather Service Sacramento California 
Caltrans District 3

**For updates on road conditions visit: https://quickmap.dot.ca.gov

#chptruckee #willthiseverend #2ndwinter #chaincontrol #anyoneseenPunxsutawneyPhil"
2023-03-28 22:35:45+00:00,2023-03-28 23:55:00+00:00,True,535685488750334,https://www.facebook.com/chp.truckee/posts/pfbid06DFruRyd54vuVzMD1FN7xQYCmHCtthfcu5NG7vjJpPvdwUZGyv52L8pbgsaAXaZFl,1,1,"‼️ ROAD CLOSURE ‼️ (3/28/23  3:30pm)

I-80 westbound is closed at the Nevada State line and eastbound is closed at Colfax due to multiple spin outs. No estimated time of reopening. 

*For updates on road conditions visit: https://quickmap.dot.ca.gov"
2023-03-29 01:02:41+00:00,2023-03-29 05:45:00+00:00,True,535733148745568,https://www.facebook.com/chp.truckee/videos/597674749046484/,1,1,"‼️TRAFFIC ALERT‼️ (3/28/23  5:55pm) 

Well that was kinda short lived 😳 I-80 EASTBOUND is closed at Applegate due to multiple spin outs over Donner Summit. Westbound I-80 over Donner Summit remains open. 

**For updates on road conditions visit: https://quickmap.dot.ca.gov"
2023-03-29 05:48:23+00:00,,False,535824682069748,https://www.facebook.com/chp.truckee/videos/143433188666909/,1,1,"⚠️⚠️ UPDATE ⚠️⚠️   (03/28/23  10:45pm) 

I-80 over Donner Summit is now open in both directions to PASSENGER vehicles only. All trucks are being turned around at Applegate and at the Nevada state line. 

•I-80 is R2 in both directions from Colfax to the Nevada state line. 
• SR-89 is R1 from Truckee to Tahoe City. 
• SR-267 is R2 from Northstar to Kings Beach. 
• SR-28 is R2 from Tahoe City to Kings Beach. 

**For updates on road conditions visit: https://quickmap.dot.ca.gov"
2023-03-30 02:46:00+00:00,2023-03-30 05:35:00+00:00,True,536277448691138,https://www.facebook.com/chp.truckee/posts/pfbid0rPSCtDp9YjXDctHavF6H5sTXD3tVCaVwfjiqyJRNVgs7mKhPQTxAXV5c53RNeyyDl,1,0,"⚠️⚠️ TRAFFIC ALERT ⚠️⚠️ (03/29/23  7:40pm) 

Welp, that was quick… I-80 westbound traffic is being turned around in Truckee and at the Nevada state line due to multiple crashes/spin outs over Donner Summit and in CHP - Gold Run’s area. No estimated time reopening."
2023-04-01 01:28:38+00:00,,False,537291451923071,https://www.facebook.com/chp.truckee/posts/pfbid02vJhb2kWz41VC2eDdYgvDGffyL7F27iHWWiLwkYbX8ZNUp6dsQaVHTPC6W2CxhTkzl,0,0,"✨FLASHBACK FRIDAY ✨

Wishing we had this set up 🙌😎

Another snowstorm coming in this Sunday and you guys know the routine… Expect chain control, possible road closures, and expect long delays!

#chptruckee #whatyearisthischevy #chaincontrol #thewinterthatneverends #makeitstop"
2023-05-19 07:19:26+00:00,,False,563349292650620,https://www.facebook.com/chp.truckee/posts/pfbid02uuDmAQtYHrXyz7XGSBitXUvvzxxWz8mzSiQskgNfFHVAEtzmSqjaqssvyBopnEczl,0,1,"Well this might take a minute…

Traffic Alert:

The Hirschdale off-ramp from I-80 eastbound is closed as the tow company works to remove a big rig that sent it a bit too hard…

Hirschdale Road is also closed between the gas station and the freeway over pass for the recovery. 

If headed to Glenshire you will have to go through town. 

There is no estimated time of re-opening. 

#whoops #stillgonnasendit #chp #chptruckee #bigrigs #downbytheriver"
2024-01-05 16:22:10+00:00,,False,687617223557159,https://www.facebook.com/chp.truckee/posts/pfbid02TGmg73nfT6jv692UULbuVWgdRjzw1PKhCnBveqmShqcuCVaNYGAGkzLFHz6A7Tvgl,1,1,"Happy Friday!! 

Get ready for another snowstorm starting early tomorrow morning through Sunday! ❄️ If you are planning to travel on I-80 over Donner Summit, be prepared for difficult driving conditions, chain control, the possibility of road closures, and expect long delays.. 

For updates on road conditions visit: https://quickmap.dot.ca.gov  

US National Weather Service Sacramento California
Caltrans District 3"
