event_id,closure_end,closure_start,source_record_count,has_reopening_time,last_closure_report,duration_status,duration_hours
I80-0035,,2018-03-17 22:50:43+00:00,1,False,2018-03-17 22:50:43+00:00,right_censored,
I80-0036,,2018-03-23 15:20:22+00:00,1,False,2018-03-23 15:20:22+00:00,right_censored,
I80-0037,,2018-04-12 07:25:33+00:00,1,False,2018-04-12 07:25:33+00:00,right_censored,
I80-0038,2018-05-01 00:00:00+00:00,2018-04-30 23:21:59+00:00,1,True,,observed,0.6336111111111111
I80-0039,,2018-05-09 18:25:33+00:00,1,False,2018-05-09 18:25:33+00:00,right_censored,
I80-0040,,2018-05-17 13:51:34+00:00,1,False,2018-05-17 13:51:34+00:00,right_censored,
I80-0041,,2018-05-21 18:14:12+00:00,1,False,2018-05-21 18:14:12+00:00,right_censored,
I80-0042,,2018-05-25 01:59:56+00:00,1,False,2018-05-25 01:59:56+00:00,right_censored,
I80-0043,,2018-10-10 15:11:13+00:00,1,False,2018-10-10 15:11:13+00:00,right_censored,
I80-0044,,2018-11-05 17:11:31+00:00,1,False,2018-11-05 17:11:31+00:00,right_censored,
I80-0045,,2018-11-14 14:15:55+00:00,1,False,2018-11-14 14:15:55+00:00,right_censored,
I80-0046,,2018-11-23 04:22:16+00:00,1,False,2018-11-23 04:22:16+00:00,right_censored,
I80-0047,2018-11-23 22:30:00+00:00,2018-11-23 21:30:57+00:00,1,True,,observed,0.9841666666666666
I80-0048,2018-12-07 12:30:00+00:00,2018-12-07 11:24:16+00:00,1,True,,observed,1.0955555555555556
I80-0049,,2018-12-07 21:51:26+00:00,1,False,2018-12-07 21:51:26+00:00,right_censored,
I80-0050,2018-12-24 21:00:00+00:00,2018-12-24 20:02:02+00:00,1,True,,observed,0.9661111111111111
I80-0051,,2018-12-25 02:45:52+00:00,1,False,2018-12-25 02:45:52+00:00,right_censored,
I80-0052,,2018-12-26 18:58:50+00:00,2,False,2018-12-27 03:39:46+00:00,right_censored,
I80-0053,2019-01-06 02:47:00+00:00,2019-01-06 00:44:16+00:00,1,True,,observed,2.0455555555555556
I80-0054,,2019-01-06 20:24:35+00:00,2,False,2019-01-06 21:19:15+00:00,right_censored,
I80-0055,2019-01-07 15:00:00+00:00,2019-01-06 21:30:59+00:00,3,True,,observed,17.48361111111111
I80-0056,,2019-01-07 18:38:03+00:00,2,False,2019-01-07 19:52:55+00:00,right_censored,
I80-0057,,2019-01-12 05:16:04+00:00,1,False,2019-01-12 05:16:04+00:00,right_censored,
I80-0058,,2019-01-14 16:40:52+00:00,1,False,2019-01-14 16:40:52+00:00,right_censored,
I80-0059,2019-01-17 00:40:00+00:00,2019-01-16 23:25:58+00:00,1,True,,observed,1.2338888888888888
I80-0060,,2019-01-17 03:27:57+00:00,8,False,2019-01-18 02:56:11+00:00,right_censored,
I80-0061,,2019-01-18 17:00:08+00:00,1,False,2019-01-18 17:00:08+00:00,right_censored,
I80-0062,,2019-01-21 07:59:45+00:00,3,False,2019-01-21 18:24:32+00:00,right_censored,
I80-0063,2019-01-27 04:20:00+00:00,2019-01-27 03:20:44+00:00,1,True,,observed,0.9877777777777778
I80-0064,2019-02-02 20:50:00+00:00,2019-02-02 19:13:34+00:00,2,True,,observed,1.6072222222222223
I80-0065,,2019-02-02 22:36:52+00:00,1,False,2019-02-02 22:36:52+00:00,right_censored,
I80-0066,,2019-02-03 16:54:28+00:00,2,False,2019-02-04 00:26:27+00:00,right_censored,
I80-0067,2019-02-05 17:52:00+00:00,2019-02-04 14:39:19+00:00,5,True,,observed,27.211388888888887
I80-0068,,2019-02-05 20:57:41+00:00,2,False,2019-02-06 03:45:22+00:00,right_censored,
I80-0069,,2019-02-06 17:06:02+00:00,1,False,2019-02-06 17:06:02+00:00,right_censored,
I80-0070,,2019-02-08 17:53:58+00:00,1,False,2019-02-08 17:53:58+00:00,right_censored,
I80-0071,,2019-02-09 06:34:39+00:00,1,False,2019-02-09 06:34:39+00:00,right_censored,
I80-0072,2019-02-10 22:30:00+00:00,2019-02-09 23:00:09+00:00,3,True,,observed,23.4975
I80-0073,,2019-02-10 22:33:57+00:00,3,False,2019-02-11 00:50:14+00:00,right_censored,
I80-0074,,2019-02-13 19:18:44+00:00,2,False,2019-02-14 00:02:55+00:00,right_censored,
I80-0075,2019-02-15 19:45:00+00:00,2019-02-14 18:23:43+00:00,2,True,,observed,25.35472222222222
I80-0076,2019-02-16 23:30:00+00:00,2019-02-14 23:32:51+00:00,4,True,,observed,47.9525
I80-0077,2019-02-16 02:15:00+00:00,2019-02-15 03:26:51+00:00,2,True,,observed,22.8025
I80-0078,2019-02-21 16:47:00+00:00,2019-02-21 16:28:47+00:00,2,True,,observed,0.3036111111111111
I80-0079,2019-02-26 16:27:00+00:00,2019-02-26 07:45:06+00:00,2,True,,observed,8.698333333333334
I80-0080,,2019-02-26 16:27:40+00:00,2,False,2019-02-26 17:48:43+00:00,right_censored,
I80-0081,2019-02-28 11:10:00+00:00,2019-02-26 21:36:02+00:00,9,True,,observed,37.56611111111111
I80-0082,,2019-02-28 11:10:17+00:00,2,False,2019-02-28 15:09:57+00:00,right_censored,
I80-0083,,2019-03-07 03:36:16+00:00,2,False,2019-03-07 05:21:07+00:00,right_censored,
I80-0084,,2019-03-28 14:08:23+00:00,1,False,2019-03-28 14:08:23+00:00,right_censored,
I80-0085,,2019-03-29 14:16:53+00:00,1,False,2019-03-29 14:16:53+00:00,right_censored,
I80-0086,,2019-04-08 22:38:40+00:00,1,False,2019-04-08 22:38:40+00:00,right_censored,
I80-0087,2019-04-24 17:48:00+00:00,2019-04-24 14:41:54+00:00,1,True,,observed,3.1016666666666666
I80-0088,,2019-04-25 11:42:01+00:00,1,False,2019-04-25 11:42:01+00:00,right_censored,
I80-0089,2019-05-16 14:57:00+00:00,2019-05-16 13:27:07+00:00,1,True,,observed,1.4980555555555555
I80-0090,2019-11-27 01:25:00+00:00,2019-11-26 22:03:57+00:00,3,True,,observed,3.3508333333333336
I80-0091,2019-11-27 15:49:00+00:00,2019-11-27 13:04:17+00:00,1,True,,observed,2.745277777777778
I80-0092,2019-11-27 17:00:00+00:00,2019-11-27 15:49:17+00:00,1,True,,observed,1.178611111111111
I80-0093,,2019-11-27 17:00:17+00:00,4,False,2019-11-28 01:13:44+00:00,right_censored,
I80-0094,2019-11-30 15:36:00+00:00,2019-11-30 02:11:35+00:00,1,True,,observed,13.406944444444445
I80-0095,,2019-12-01 02:25:23+00:00,1,False,2019-12-01 02:25:23+00:00,right_censored,
